, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 216, 217, 218, 219, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, 230, 231, 232, 233, 234, 235, 236, 237, 238, 239, 240, 241, 242, 243, 244, 245, 246, 247, 248, 249, 250, 251, 252, 253, 254, 255, 256, 257, 258, 259, 260, 261, 262, 263, 264, 265, 266, 267, 268, 269, 270, 271, 272, 273, 274, 275, 276, 277, 278, 279, 280, 281, 282, 283
16807, 9.49, 7.668, 9.038, 8.524, 7.702, 7.389, 7.247, 10.12, 9.843, 7.935, 7.904, 8.318, 8.899, 7.61, 8.935, 9.246, 7.727, 6.322, 9.84, 7.529, 8.841, 9.23, 9.191, 8.38, 7.765, 9.226, 8.659, 7.753, 7.226, 7.67, 9.344, 9.486, 8.168, 10.54, 8.406, 6.91, 6.525, 7.082, 10.08, 7.334, 7.848, 7.96, 7.554, 7.245, 8.078, 8.209, 8.206, 8.937, 7.877, 7.405, 7.608, 8.746, 9.655, 7.177, 10.44, 7.192, 8.009, 7.454, 10.1, 7.341, 9.151, 7.422, 8.125, 10.05, 9.022, 9.068, 8.031, 10.21, 9.068, 10.13, 7.63, 8.068, 7.701, 7.553, 9.171, 9.551, 9.01, 8.189, 10.98, 8.611, 8.816, 7.231, 9.043, 6.749, 7.306, 8.19, 8.928, 7.363, 9.043, 7.889, 9.353, 7.681, 7.727, 9.459, 9.201, 8.034, 8.783, 8.11, 7.852, 9.607, 7.824, 7.673, 8.006, 7.815, 7.838, 7.276, 9.755, 6.584, 8.45, 7.392, 8.024, 9.51, 8.63, 9.023, 8.73, 8.951, 10.47, 6.984, 7.845, 8.733, 6.158, 10.19, 9.86, 8.674, 8.956, 8.723, 7.362, 8.552, 7.354, 7.71, 8.579, 8.699, 8.624, 7.931, 8.301, 7.912, 7.17, 7.836, 8.054, 6.802, 8.929, 9.049, 8.559, 8.771, 8.143, 9.448, 8.222, 8.868, 9.509, 7.285, 9.057, 7.256, 7.46, 9.231, 8.273, 9.513, 8.316, 7.891, 6.963, 11.04, 8.096, 9.78, 8.499, 9.17, 9.176, 9.885, 7.445, 9.346, 9.923, 9.229, 9.175, 7.623, 9.281, 6.843, 10.02, 7.681, 8.748, 7.662, 7.85, 10.07, 7.701, 10.04, 8.135, 7.587, 8.327, 9.079, 7.729, 8.156, 9.627, 7.591, 9.841, 9.468, 7.703, 7.654, 6.625, 8.395, 8.025, 7.366, 7.424, 9.266, 9.585, 9.739, 8.997, 7.076, 8.92, 7.005, 8.068, 7.568, 8.582, 7.234, 6.707, 6.931, 8.105, 6.765, 8.639, 6.988, 8.758, 9.425, 8.782, 7.525, 9.54, 8.309, 9.4, 7.721, 8.555, 9.404, 9.508, 6.851, 9.325, 7.861, 9.167, 8.418, 9.086, 9.247, 9.47, 8.61, 9.085, 8.851, 8.549, 9.237, 6.626, 8.415, 9.97, 7.192, 7.898, 9.37, 7.204, 8.134, 7.507, 7.285, 7.914, 8.098, 8.186, 7.545, 9.514, 8.193, 7.982, 9.341, 7.372, 8.458, 7.269, 10.59, 8.886, 9.299, 8.094, 8.325, 8.118, 8.079, 8.073, 9.809, 8.073, 10.89, 7.81, 7.427, 7.525, 6.942, 7.584, 9.318, 7.949, 7.395, 7.336, 6.269, 9.26, 8.472
282475249, 8.642, 7.972, 8.551, 8.495, 8.101, 6.743, 7.654, 10.15, 9.332, 8.378, 7.792, 8.102, 7.164, 8.295, 8.429, 8.942, 7.4, 7.33, 9.081, 9.656, 7.576, 8.894, 10.54, 8.465, 7.389, 9.189, 9.705, 8.085, 7.585, 7.349, 8.238, 8.806, 7.934, 9.355, 8.003, 8.606, 7.32, 8.058, 9.818, 6.995, 10.04, 9.796, 8.07, 6.103, 6.852, 7.427, 8.86, 7.989, 5.958, 7.988, 8.6, 9.167, 8.46, 9.295, 9.34, 6.866, 7.332, 9.366, 9.631, 7.843, 8.692, 7.622, 7.853, 10.3, 9.328, 8.696, 7.89, 8.886, 10.02, 9.224, 8.279, 8.753, 8.111, 7.782, 8.065, 9.544, 9.448, 8.95, 10.34, 8.176, 7.992, 7.281, 8.746, 8.414, 8.328, 8.349, 8.056, 8.223, 8.645, 7.969, 9.362, 8.159, 7.794, 10.69, 10, 9.471, 9.465, 6.98, 8.054, 9.109, 7.706, 9.124, 9.857, 8.232, 8.496, 7.388, 10.16, 7.793, 9.191, 6.978, 8.02, 9.098, 9.341, 9.919, 8.247, 7.399, 9.132, 8, 8.495, 7.065, 6.442, 8.988, 10.34, 9.133, 7.82, 8.734, 6.966, 8.815, 8.219, 7.848, 9.316, 9.916, 8.329, 7.827, 8.009, 8.59, 8.524, 9.019, 8.428, 7.188, 8.338, 8.847, 7.548, 7.142, 8.002, 8.708, 8.596, 8.457, 9.071, 7.148, 8.535, 7.488, 8.537, 8.466, 8.469, 10.01, 8.17, 8.937, 6.97, 9.987, 6.975, 10.43, 10.19, 6.941, 9.28, 9.123, 8.997, 10.65, 7.799, 8.362, 10.03, 7.749, 9.079, 7.214, 11.39, 7.254, 8.365, 7.387, 8.83, 9.826, 6.534, 10.63, 6.666, 8.298, 9.146, 9.133, 9.233, 9.362, 7.977, 7.448, 8.902, 8.983, 9.359, 7.293, 7.604, 9.419, 8.617, 8.32, 6.934, 9.277, 9.855, 9.712, 8.54, 7.295, 7.938, 8.569, 8.954, 7.927, 7.954, 7.86, 7.357, 7.374, 7.848, 7.405, 8.937, 8.156, 9.967, 8.95, 8.416, 7.924, 10.26, 7.792, 9.785, 8.853, 8.567, 8.671, 9.074, 8.06, 9.256, 6.673, 8.185, 8.682, 8.745, 7.861, 9.095, 6.985, 9.208, 9.656, 8.952, 9.125, 6.994, 7.522, 9.837, 7.948, 8.967, 7.98, 7.246, 6.498, 6.573, 7.768, 7.476, 7.317, 8.213, 8.876, 9.052, 6.942, 7.103, 9.112, 8.401, 8.334, 6.724, 9.601, 8.568, 8.48, 7.812, 8.153, 6.974, 7.386, 8.284, 9.312, 6.898, 11.33, 8.628, 7.239, 8.389, 6.735, 8.536, 8.677, 8.147, 8.187, 8.587, 6.925, 9.541, 7.426
